
Shrek,2001,PG,18 May 2001,90 min,"Animation, Adventure, Comedy","Andrew Adamson, Vicky Jenson","William Steig, Ted Elliott, Terry Rossio","Mike Myers, Eddie Murphy, Cameron Diaz","A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",English,United States,Won 1 Oscar. 40 wins & 60 nominations total,https://m.media-amazon.com/images/M/MV5BN2FkMTRkNTUtYTI0NC00ZjI4LWI5MzUtMDFmOGY0NmU2OGY1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '84/100'}]",84,7.9,"779,468",tt0126029,movie,N/A,"$268,698,241",N/A,N/A,True,
Shrek 2,2004,PG,19 May 2004,93 min,"Animation, Adventure, Comedy","Andrew Adamson, Kelly Asbury, Conrad Vernon","William Steig, Andrew Adamson, Joe Stillman","Mike Myers, Eddie Murphy, Cameron Diaz","Shrek and Fiona travel to the Kingdom of Far Far Away, where Fiona's parents are King and Queen, to celebrate their marriage. When they arrive, they find they are not as welcome as they thought they would be.",English,United States,Nominated for 2 Oscars. 18 wins & 52 nominations total,https://m.media-amazon.com/images/M/MV5BMzNmNjQ1NmUtNzhiZS00YWE2LTg4N2ItZTA2ODdmOTMwOTQ1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75,7.4,"535,718",tt0298148,movie,N/A,"$444,978,202",N/A,N/A,True,
Shrek the Third,2007,PG,18 May 2007,93 min,"Animation, Adventure, Comedy","Chris Miller, Raman Hui","William Steig, Andrew Adamson, Jeffrey Price","Mike Myers, Cameron Diaz, Eddie Murphy","Reluctantly designated as the heir to the land of Far, Far Away, Shrek hatches a plan to install the rebellious Artie as the new king while Princess Fiona tries to fend off a coup d'état by the jilted Prince Charming.",English,United States,Nominated for 1 BAFTA Award5 wins & 17 nominations total,https://m.media-amazon.com/images/M/MV5BOTgyMjc3ODk2MV5BMl5BanBnXkFtZTcwMjY0MjEzMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '41%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",58,6.1,"348,816",tt0413267,movie,N/A,"$322,719,944",N/A,N/A,True,
Shrek Forever After,2010,PG,21 May 2010,93 min,"Animation, Adventure, Comedy",Mike Mitchell,"Josh Klausner, Darren Lemke, William Steig","Mike Myers, Cameron Diaz, Eddie Murphy",Rumpelstiltskin tricks a mid-life crisis burdened Shrek into allowing himself to be erased from existence and cast in a dark alternate timeline where Rumpelstiltskin rules supreme.,English,"United States, France",1 win & 13 nominations total,https://m.media-amazon.com/images/M/MV5BMTY0OTU1NzkxMl5BMl5BanBnXkFtZTcwMzI2NDUzMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",58,6.3,"236,105",tt0892791,movie,N/A,"$238,736,787",N/A,N/A,True,
Shrek the Halls,2007,TV-PG,28 Nov 2007,21 min,"Animation, Short, Adventure",Gary Trousdale,"Gary Trousdale, Sean Bishop, Theresa Cullen","Mike Myers, Eddie Murphy, Cameron Diaz",This half-hour animated TV special features the Shrek characters putting their own spin on holiday traditions.,English,United States,4 nominations total,https://m.media-amazon.com/images/M/MV5BYzM4NzA2YzctNzBiNi00YjU0LWJkNjAtMzNjOWZkOGVmMDJiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,"16,781",tt0897387,movie,N/A,N/A,N/A,N/A,True,
Shrek 4-D,2003,TV-PG,18 Sep 2009,13 min,"Animation, Short, Adventure, Comedy, Family, Fantasy",Simon J. Smith,"William Steig (characters), David Lipman","Mike Myers, Eddie Murphy, Cameron Diaz, John Lithgow",Join Donkey and Shrek as they rescue Fiona from the evil ghost of Lord Farquaad and embark on a bone-chilling adventure.,English,"USA, Japan",N/A,https://m.media-amazon.com/images/M/MV5BNDVlOWZkNTEtNTcxZS00NDVhLWFlZWItYWFhNmZmZWNhYzU1XkEyXkFqcGdeQXVyNzMwOTY2NTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,"4,711",tt0360985,movie,N/A,N/A,N/A,N/A,True,
Shrek the Musical,2013,Not Rated,17 Sep 2013,130 min,"Comedy, Family, Fantasy",Michael John Warren,"David Lindsay-Abaire, William Steig, Ted Elliott","Brian d'Arcy James, Sutton Foster, Christopher Sieber",Make room for ogre-sized family fun as the greatest fairy tale never told comes to life in a whole new way in this breathtaking Broadway musical adaptation of the hit movie Shrek!,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BY2Y5YTllMWMtMDc5MC00ZDQ4LTllY2UtNWY4ZThmNTVlOTAyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,"4,623",tt3070936,movie,N/A,N/A,N/A,N/A,True,
Shrek in the Swamp Karaoke Dance Party,2001,Unrated,02 Nov 2001,3 min,"Animation, Short, Comedy, Family, Music, Romance","Andrew Adamson, Vicky Jenson",N/A,"Mike Myers, Eddie Murphy, Christopher Knights, Guillaume Aretos",Shrek and his friends enjoy themselves with some Karaoke partying.,English,"USA, Japan",N/A,https://m.media-amazon.com/images/M/MV5BMTlmZjQzNmYtMjA1Ny00N2JkLWJhM2ItYTU3ODQ4Zjc2MWE1XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",N/A,7.0,"2,047",tt0307461,movie,N/A,N/A,N/A,N/A,True,
Shrek Retold,2018,Not Rated,29 Nov 2018,90 min,"Animation, Adventure, Comedy",Grant Duffrin,"Ted Elliott, Terry Rossio, Joe Stillman","Grant Duffrin, Eric Nitshcke, Harry Antonucci","After his swamp is filled with magical creatures, Shrek agrees to rescue Princess Fiona for a villainous lord in order to get his land back.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZDY3ZDFjZWYtNDhmNC00OGVjLWIxZDYtNzlmYTAyYjMwNTcyXkEyXkFqcGdeQXVyNTk5NzczMDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,"1,448",tt9334162,movie,N/A,N/A,N/A,N/A,True,
Shrek: Thriller Night,2011,TV-Y7,13 Sep 2011,6 min,"Animation, Short, Comedy","Sean Bishop, Gary Trousdale","Sean Bishop, Elaine Rogan, David Feiss","Michael Gough, Dean Edwards, Holly Fields","Shrek is bored on Halloween, and wants to have something scary. The power of Thriller gives him more than he bargained for.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjljZTQ0YWYtNGEwNC00ODJmLTgyOTQtZmIyNjI0YzFmNDgzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,"1,156",tt2051999,movie,N/A,N/A,N/A,N/A,True,
